ID,Title,Published,DiagStatus,DepStatus,nDep,nCon,ageDep,ageCon,sex,edu,matchAge,matchEdu,IQDep,episode,onsetAge,onsetAgeCalc,onset,duration,durationCalc,med,Recruitment,MADRS,HDRS,BDI,BDICalc,HADS,CESD,GDS.30,SDS,DID,MASQ,d,cp,g,vi,sdi,Va,sda,Stat.used,AMT,Positive,Neutral,Negative,Specific,Categoric
41,Biedermann 2017,1,1,1,27,31,45.7,46.4,0.704,14.22,1,1,NA,NA,NA,NA,NA,NA,NA,0.407,1,NA,26.3,36.4,36.4,NA,NA,NA,NA,NA,NA,-0.859468314,0.986547085,-0.84790596,0.075492899,0.274759711,0.068965517,0.262612866,F ,0,NA,NA,NA,1,0
42,Young 2016a: Current MDD,1,1,1,45,60,33.5,30.3,0.444,NA,1,NA,109,NA,NA,NA,NA,NA,NA,0,0,NA,18.9,NA,27.23880597,NA,NA,NA,NA,NA,NA,-1.494313493,0.99270073,-1.483406095,0.04936743,0.222187826,0.038095238,0.195180015,Mean,1,NA,NA,NA,1,0
44,Young 2016a: Remitted MDD,1,1,0,25,60,30.9,30.3,0.64,NA,1,NA,108,NA,NA,NA,NA,NA,NA,0,0,NA,3.88,NA,4.820895522,NA,NA,NA,NA,NA,NA,-1.639927694,0.990936556,-1.625064301,0.072200984,0.268702408,0.047058824,0.216930458,Mean,1,NA,NA,NA,1,0
46,Young 2016b,1,1,1,35,25,37.3,35.1,0.629,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,19.3,NA,27.8358209,NA,NA,NA,NA,NA,NA,-1.836452553,0.987012987,-1.81260252,0.095950828,0.309759307,0.066666667,0.25819889,Mean,1,NA,NA,NA,1,0
47,Kaney 1999,1,1,1,20,20,34.9,36.65,0.25,NA,1,NA,105.2,NA,NA,NA,NA,NA,NA,0.5,1,NA,NA,27.55,27.55,NA,NA,NA,NA,NA,NA,-0.497169194,0.98013245,-0.08811333,0.102088842,0.319513445,0.1,0.316227766,Mean,1,1,0,0,1,0
51,Gallassi 2006,1,1,1,48,15,67.54,69.33,0.75,7.15,1,1,NA,0.75,54.79,54.79,NA,NA,153,0,1,NA,25.5,NA,37.08955224,NA,NA,NA,NA,NA,NA,-1.986072569,0.987654321,-1.961553155,0.118037228,0.343565464,0.063492063,0.251976315,Mean,0,NA,NA,NA,1,0
52,Heidenreich 2007,1,1,1,18,18,39.9,32.3,0.556,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,24.94,24.94,NA,NA,NA,NA,NA,NA,0.047979385,0.977777778,0.046913177,0.111141678,0.333379181,0.111111111,0.333333333,Mean,1,NA,NA,NA,1,0
54,Rottenberg 2006: Current MDD,1,1,1,26,29,36.7,32.1,0.769,14.4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,25,NA,NA,NA,NA,NA,NA,-3.618747869,0.985781991,-1.473831042,0.132533165,0.364051047,0.072727273,0.269679945,Mean,0,1,0,0,1,0
56,Rottenberg 2006: Remitted MDD,1,1,0,19,29,34.99,32.1,0.736,14,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.6,5.6,NA,NA,NA,NA,NA,NA,-1.055008188,0.985781991,-0.757081168,0.078882657,0.280860564,0.083333333,0.288675135,Mean,0,1,0,0,1,0
58,Romero 2014,1,NA,1,65,74,21.58,21.65,0.862,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,17.08,17.08,NA,NA,NA,NA,NA,NA,-0.830352475,0.994515539,-0.336382417,0.030166766,0.173685826,0.028776978,0.169637786,Mean,0,1,0,0,1,0
62,Wessel 2001: Remitted MDD with Anxiety,1,1,0,20,24,37.5,35.1,0.65,NA,1,1,NA,NA,NA,NA,NA,NA,NA,0.35,1,NA,NA,NA,NA,NA,NA,NA,50.9,NA,NA,-0.513854288,0.982035928,-0.358109352,0.094011177,0.306612421,0.090909091,0.301511345,Mean,1,1,0,0,1,0
64,Wessel 2001: Current MDD with Anxiety,1,1,1,25,24,38.6,35.1,0.48,NA,1,1,NA,NA,NA,NA,NA,NA,NA,0.64,1,NA,NA,NA,NA,NA,NA,NA,59.88,NA,NA,-1.215779676,0.983957219,-0.924018212,0.091135376,0.301886363,0.081632653,0.285714286,Mean,1,1,0,0,1,0
66,Wessel 2001: Current MDD,1,1,1,17,24,40.9,35.1,0.647,NA,1,1,NA,NA,NA,NA,NA,NA,NA,0.647,1,NA,NA,NA,NA,NA,NA,NA,58.94,NA,NA,-1.306409359,0.980645161,-1.08900668,0.115402936,0.339710076,0.097560976,0.312347524,Mean,1,1,0,0,1,0
68,Rosenbach 2015,1,1,1,27,30,41.6,33,0.667,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.163330229,0.98630137,-0.099387034,0.070490418,0.265500315,0.070175439,0.264906471,Mean,1,1,0,0,1,0
70,Lee 2016,1,NA,1,21,20,43.43,32.8,0.429,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.86,NA,NA,NA,NA,-0.609947958,0.980645161,-0.811670641,0.106209334,0.325897735,0.097560976,0.312347524,Mean,1,1,0,0,1,0
72,Vorontsova 2013,1,1,1,30,30,42.5,40.4,0.533,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,30,30,NA,NA,NA,NA,NA,NA,-0.107380669,0.987012987,-0.105986115,0.066760275,0.258380098,0.066666667,0.25819889,Mean,1,NA,NA,NA,1,0
73,Sumner 2014,1,1,0.037,164,275,22.5,22.4,0.74,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.113478545,0.99828277,0.113283676,0.009748541,0.0987347,0.009111617,0.095454792,Mean,1,NA,NA,NA,1,0
74,Ridout 2016,1,1,1,25,25,42.7,41,0.6,12.6,1,1,106,NA,NA,NA,NA,NA,NA,0.84,1,NA,NA,28.9,28.9,12.6,NA,NA,NA,NA,NA,-0.908445381,0.984293194,-1.172720539,0.094566222,0.307516213,0.08,0.282842712,Mean,1,1,0,0,1,0
