region1,region2,strength
L_isthmuscingulate,L_parahippocampal,8.5640
L_isthmuscingulate,L_paracentral,5.4096
L_isthmuscingulate,L_parsopercularis,3.1626
L_isthmuscingulate,L_pericalcarine,7.2255
L_isthmuscingulate,L_posteriorcingulate,9.3325
L_isthmuscingulate,L_precuneus,10.7381
L_isthmuscingulate,L_rostralanteriorcingulate,7.0006
L_isthmuscingulate,L_superiorfrontal,8.7517
L_isthmuscingulate,L_superiorparietal,8.2219
L_isthmuscingulate,L_insula,5.5468
L_isthmuscingulate,R_caudalanteriorcingulate,3.7590
L_isthmuscingulate,R_cuneus,5.8415
L_isthmuscingulate,R_inferiorparietal,4.5668
L_isthmuscingulate,R_isthmuscingulate,8.4462
L_isthmuscingulate,R_lingual,5.6327
L_isthmuscingulate,R_parahippocampal,3.2129
L_isthmuscingulate,R_paracentral,5.7930
L_isthmuscingulate,R_pericalcarine,5.0702
L_isthmuscingulate,R_posteriorcingulate,6.4307
L_isthmuscingulate,R_precuneus,7.7332
L_isthmuscingulate,R_superiorparietal,7.2438
L_isthmuscingulate,R_supramarginal,4.0283
L_isthmuscingulate,R_insula,3.4669
L_lateraloccipital,L_lateralorbitofrontal,6.0238
L_lateraloccipital,L_lingual,10.0674
L_lateraloccipital,L_middletemporal,9.3682
L_lateraloccipital,L_parahippocampal,5.7577
L_lateraloccipital,L_pericalcarine,9.6830
L_lateraloccipital,L_superiorparietal,10.3150
L_lateraloccipital,L_superiortemporal,8.9342
L_lateraloccipital,L_temporalpole,5.7562
L_lateraloccipital,L_insula,8.8679
L_lateraloccipital,R_inferiortemporal,5.9794
L_lateraloccipital,R_pericalcarine,7.1626
L_lateraloccipital,R_superiorparietal,8.5016
L_lateralorbitofrontal,L_lingual,6.7440
L_lateralorbitofrontal,L_medialorbitofrontal,10.2342
L_lateralorbitofrontal,L_middletemporal,6.7084
L_lateralorbitofrontal,L_parsopercularis,7.2769
L_lateralorbitofrontal,L_parsorbitalis,9.9100
L_lateralorbitofrontal,L_parstriangularis,8.9659
L_lateralorbitofrontal,L_rostralanteriorcingulate,8.0665
L_lateralorbitofrontal,L_rostralmiddlefrontal,9.1450
L_lateralorbitofrontal,L_superiorfrontal,6.7948
L_lateralorbitofrontal,L_superiortemporal,7.2221
